name;food_tags;mood_tags;address;neighborhood;latitude;longitude;rating;reviews_count;price_level;phone;website;hours;permanently_closed;temporarily_closed;maps url;status
Kappo Ando;Asian;Restaurant;Øster Farimagsgade 93, 2100 København;Østerbro;55.6953299;12.5793205;4.7;125;;29 82 97 46;http://www.kappoando.com/;Open · Closes 12.00 am;No;No;https://www.google.com/maps/place/Kappo+Ando/data=!4m2!3m1!1s0x465253926f350b8f:0xa7c03bf2943906d3;success
Kind Of Blue;Beer;Bar;Ravnsborggade 17, 2200 København;Nørrebro;55.689123;12.5624428;4.6;407;;31 99 99 54;https://www.kindofblue.dk/;Closed · Opens 4.00 pm Tue;No;No;https://www.google.com/maps/place/Kind+Of+Blue/data=!4m2!3m1!1s0x46525300d73cc1ad:0xffe60ef7e5f8fe6d;success
Kissa;Cocktails;Al Fresco;Vesterbrogade 47, 1620 København V;Vesterbro;55.672001;12.5556148;4.7;94;;;http://www.jojo.dk/;Open · Closes 1.00 am;No;No;https://www.google.com/maps/place/Kissa/data=!4m2!3m1!1s0x465253004f3d53af:0x5ec837862098a9f6;success
KU.BE;Coffee;Cafe;Dirch Passers Allé 8A, 2000 Frederiksberg;;55.6830558;12.5055737;4.4;1,641;;28 98 09 24;http://kube.frederiksberg.dk/;Closed · Opens 10.00 am Mon;No;No;https://www.google.com/maps/place/KU.BE/data=!4m2!3m1!1s0x465253c4aaff96db:0xb57528b2ddb703c5;success
Kung Fu;Asian;Restaurant;Ravnsborggade 16B, 2200 København;Nørrebro;55.6889291;12.5625905;4.3;539;;40 63 69 76;http://kungfubar.dk/;Open · Closes 10.00 pm;No;No;https://www.google.com/maps/place/Kung+Fu+Restaurant+%26+Izakaya+Ramen+Bar/data=!4m2!3m1!1s0x46525300d7aa0263:0x23663f9fb462619f;success
Københavns Bageri;Fastelavnsbolle;Bakery;Flaskehalsen 22, 1799 København;Vesterbro;55.6646938;12.5354426;4.6;260;;;https://www.earnest-eats.dk/projects-1/koebenhavnsbageri;Closed · Opens 7.00 am Mon;No;No;https://www.google.com/maps/place/K%C3%B8benhavns+Bageri/data=!4m2!3m1!1s0x4652532c32841b61:0x289933757748ada0;success
Københavns Toldbod;Brunch;"Restaurant; Al Fresco";Nordre Toldbod 18-24, 1259 København;Indre By;55.6896711;12.5998306;3.9;2,185;;33 93 07 60;https://seasidecph.dk/;;No;No;https://www.google.com/maps/place/K%C3%B8benhavns+Toldbod/data=!4m2!3m1!1s0x46525320a2f39d8b:0x133478b9f8d51c59;success
Kødbyens Fiskebar;Fish;Restaurant;Flæsketorvet 100, 1711 København;Vesterbro;55.6678839;12.5592894;4.3;4,392;;32 15 56 56;https://fiskebaren.dk/;;No;No;https://www.google.com/maps/place/K%C3%B8dbyens+Fiskebar/data=!4m2!3m1!1s0x46525373be55afe9:0xfd964541f10941ef;success
Kølsters Tolv Haner;Beer;Bar;Rantzausgade 56, 2200 København;Nørrebro;55.6875956;12.5470752;4.3;664;;;https://www.facebook.com/tolvhaner/;Open · Closes 12.00 am;No;No;https://www.google.com/maps/place/K%C3%B8lsters+Tolv+Haner/data=!4m2!3m1!1s0x465253aee1108fab:0x5b39eca27b06d5a2;success
La Banchina;Street Food;"Cafe; Al Fresco";Refshalevej 141, 1432 København;Refshaleøen;55.6893015;12.6109311;4.6;1,626;;31 26 65 61;http://www.labanchina.dk/;Closed · Opens 8.00 am Mon;No;No;https://www.google.com/maps/place/La+Banchina/data=!4m2!3m1!1s0x465252d7e174647b:0x4b04e382875aca3e;success
La Cabra;"Coffee; Fastelavnsbolle";Cafe;Møntergade 3A, 1116 København K;Indre By;55.6815858;12.5790398;4.4;579;;;http://www.lacabra.com/montergade;Closed · Opens 8.00 am Mon;No;No;https://www.google.com/maps/place/La+Cabra/data=!4m2!3m1!1s0x4652531be6ee4763:0x5ed8f336225d6b3b;success
La Cabra;"Coffee; Fastelavnsbolle";Cafe;Århusgade 118X, 2150 København;;55.707163;12.5920549;4.5;51;;;https://lacabra.com/pages/nordhavn;Closed · Opens 7.30 am Mon;No;No;https://www.google.com/maps/place/La+Cabra/data=!4m2!3m1!1s0x46525314a7b7ede7:0x3a4a1e0f4b65854f;success
